ym,base_rate,usd_krw,cpi,industrial,export,import_,bond_3y,cli,bsi,current_acct,capex,m2
201901,1.75,1119.6,98.884,99.4,46168934.0,45153389.0,1.807,99.3,82.48333333333333,6371.4,94.5,2541916.3
201902,1.75,1120.125,99.311,93.85,39481803.0,36651437.0,1.802,99.2,82.11666666666666,3640.9,88.1,2552142.8
201903,1.75,1134.26,99.121,100.4,47003206.0,41992349.0,1.789,99.2,83.73333333333333,4828.1,92.5,2567458.8
201904,1.75,1149.575,99.481,100.9,48781156.0,45047164.0,1.736,99.2,84.2,4067.0,98.4,2586645.8
201905,1.75,1186.645,99.652,101.5,45703948.0,43619667.0,1.679,99.0,83.39999999999999,4743.3,92.3,2588405.6
201906,1.75,1166.21,99.491,100.95,44008404.0,40104812.0,1.496,98.7,84.51666666666667,3967.8,91.5,2610924.0
201907,1.5,1178.655,99.187,101.6,46078221.0,43762245.0,1.382,98.4,83.25,5155.4,93.4,2626313.4
201908,1.5,1212.09,99.425,100.4,44020065.0,42457250.0,1.164,98.3,82.14999999999999,5674.8,94.3,2644620.3
201909,1.5,1199.425,99.794,100.3,44629053.0,38741473.0,1.287,98.4,82.86666666666666,5315.1,92.4,2657896.1
201910,1.25,1176.265,100.041,102.4,46648756.0,41396517.0,1.357,98.7,83.23333333333333,5824.5,95.6,2684616.6
201911,1.25,1173.375,99.481,102.7,44040722.0,40729215.0,1.492,98.9,84.3,5479.1,94.4,2714224.7
201912,1.25,1166.82,99.719,108.0,45668341.0,43687430.0,1.39,99.2,85.53333333333335,4608.5,100.2,2709976.7
202001,1.25,1173.89,100.09,100.8,43103061.0,42718100.0,1.373,99.3,84.91666666666667,5547.5,94.4,2738719.5
202002,1.25,1204.845,100.16,97.15,40911819.0,36977247.0,1.253,99.3,78.10000000000001,4894.4,95.5,2772876.6
202003,0.75,1221.3449999999998,99.94,100.3,46167204.0,41803860.0,1.091,98.8,68.85000000000001,6048.2,100.6,2797940.6
202004,0.75,1225.215,99.5,96.3,36270183.0,37932611.0,1.024,98.4,66.88333333333334,-301.5,103.6,2862592.4
202005,0.5,1234.035,99.44,95.9,34854511.0,34661974.0,0.878,98.1,67.58333333333333,1671.2,96.1,2903430.1
202006,0.5,1205.355,99.71,100.5,39214071.0,35794860.0,0.85,98.3,71.21666666666667,5431.7,102.3,2924178.4
202007,0.5,1195.15,99.63,99.45,42785144.0,38849185.0,0.826,98.5,75.35000000000001,6504.0,101.4,2948195.4
202008,0.5,1185.975,100.19,97.45,39469231.0,35817929.0,0.829,99.0,77.33333333333333,6247.4,97.6,2957258.4
202009,0.5,1176.15,100.74,101.35,47819948.0,39400190.0,0.908,99.3,75.98333333333333,6401.2,108.1,2975068.2
202010,0.5,1139.04,100.18,100.5,44818534.0,39093795.0,0.91,99.6,82.31666666666666,13383.8,96.6,3013099.3
202011,0.5,1110.58,100.09,102.6,45751883.0,39944763.0,0.965,100.0,84.98333333333333,8754.9,98.9,3040116.3
202012,0.5,1091.565,100.33,107.65,51332449.0,44638246.0,0.97,100.2,82.39999999999999,11921.3,104.8,3042608.9
202101,0.5,1106.045,101.04,99.9,48006974.0,44456822.0,0.975,100.6,83.61666666666666,9499.7,113.2,3068301.1
202102,0.5,1110.06,101.58,99.1,44706907.0,42404636.0,0.995,100.9,85.45,8136.7,109.6,3109468.9
202103,0.5,1132.26,101.84,106.35,53690914.0,49742555.0,1.133,101.3,88.8,7587.3,109.9,3139905.3
202104,0.5,1113.4,101.98,103.85,51225991.0,50891152.0,1.138,101.7,92.88333333333333,6213.5,118.2,3187670.1
202105,0.5,1119.64,102.05,103.8,50725161.0,47910522.0,1.134,102.1,93.83333333333331,10891.9,108.5,3215002.7
202106,0.5,1125.65,102.05,107.35,54778905.0,50429027.0,1.302,102.4,94.98333333333332,7033.9,114.9,3226311.9
202107,0.5,1145.69,102.26,104.65,55461518.0,53676256.0,1.419,102.2,92.5,6490.8,116.8,3267778.3
202108,0.75,1162.37,102.75,103.25,53165104.0,51581093.0,1.411,102.0,92.83333333333331,5849.5,109.9,3292680.5
202109,0.75,1177.22,103.17,105.35,55913862.0,51636341.0,1.515,101.6,90.6,6869.7,101.7,3308123.4
202110,0.75,1177.26,103.35,106.0,55660373.0,53847824.0,1.842,101.2,91.13333333333333,4619.5,100.7,3350628.5
202111,1.0,1188.1550000000002,103.87,108.75,60330542.0,57357549.0,1.953,100.9,91.68333333333334,5705.6,108.7,3391820.7
202112,1.0,1184.6,104.04,116.5,60734117.0,61159671.0,1.8,100.7,92.33333333333331,4980.6,111.4,3403332.6
202201,1.25,1198.205,104.85,107.45,55455376.0,60606721.0,2.06,100.9,91.73333333333332,6248.2,117.5,3440654.1
202202,1.25,1200.52,105.42,103.8,54155835.0,53482054.0,2.285,100.7,90.08333333333331,6719.1,108.8,3471671.0
202203,1.25,1215.915,106.1,111.4,63786835.0,63811102.0,2.369,100.6,89.05,7726.2,106.1,3492163.0
202204,1.5,1250.87,106.83,110.3,57842816.0,60213185.0,2.941,100.4,91.48333333333332,4878.1,103.9,3512106.3
202205,1.75,1257.84,107.5,111.1,61591326.0,63168380.0,3.019,100.6,91.98333333333332,3013.9,112.3,3536839.0
